mtc_code,product_id,llf_code,region_id,profile_id,amount,primary_rate,secondary_rate,tertiary_rate,pricelist_id
550,RHT,289,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,289,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,289,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,283,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,283,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,283,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,283,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,283,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,283,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,283,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,283,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,284,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,284,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,284,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,284,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,284,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,284,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,284,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,284,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,287,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,287,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,287,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,287,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,287,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,287,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,287,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,287,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,289,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,289,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,289,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,289,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,289,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,289,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,289,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,289,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,295,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,295,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,295,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,295,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,295,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,295,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,295,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,295,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,296,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,296,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,296,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,296,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,296,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,296,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,296,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,296,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,297,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,297,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,297,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,297,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,297,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,297,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,297,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,297,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,540,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,540,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,540,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,540,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,540,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,540,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,540,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
43,RHT,540,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,296,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,296,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,296,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,296,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,296,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,296,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,296,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,296,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,297,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,297,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,297,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,297,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,297,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,297,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,297,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,297,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,287,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,287,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,287,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,287,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,287,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,287,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,287,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,287,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,284,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,284,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,284,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,284,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,284,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,284,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,284,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,284,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,283,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,283,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,283,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,283,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,283,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,283,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,283,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,283,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,540,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,540,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,540,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,540,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,540,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,540,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,540,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,540,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,295,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,295,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,295,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,295,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,295,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,295,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,295,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
550,RHT,295,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
533,RHT,297,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
533,RHT,297,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
533,RHT,297,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
533,RHT,297,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
533,RHT,297,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
533,RHT,297,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
533,RHT,297,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
533,RHT,297,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,297,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,297,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,297,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,297,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,297,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,297,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,297,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,297,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,296,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,296,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,296,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,296,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,296,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,296,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,296,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,296,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,292,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,292,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,292,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,292,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,292,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,292,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,292,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,292,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,287,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,287,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,287,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,287,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,287,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,287,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,287,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,287,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,286,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,286,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,286,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,286,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,286,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,286,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,286,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,286,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,283,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,283,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,283,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,283,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,283,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,283,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,283,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,283,19,4,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,281,19,2,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,281,19,5,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,281,19,7,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,281,19,8,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,281,19,1,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,281,19,3,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
29,RHT,281,19,6,0,7.47,0,0,EoN(2014-01-14) Electricity Aq 1yr
