mtc_code,product_id,llf_code,region_id,profile_id,amount,primary_rate,secondary_rate,tertiary_rate,other_price_1,other_price_2,pricelist_id
93,Baserate,201,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
93,Baserate,201,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
93,Baserate,201,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
93,Baserate,201,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
93,Baserate,100,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
93,Baserate,100,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
93,Baserate,100,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
93,Baserate,100,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,305,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,305,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,305,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,305,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,400,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,400,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,400,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,400,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,401,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,401,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,401,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,401,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,402,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,402,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,402,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,402,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,403,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,403,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,403,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,403,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,245,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,245,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,245,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,245,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,202,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,202,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,202,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,202,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,246,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,246,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,246,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,246,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,100,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,100,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,100,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,100,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,110,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,110,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,110,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,110,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,160,18,5,72,10.02,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,160,18,6,72,13.25,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,160,18,7,72,10.1,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
501,Baserate,160,18,8,72,10,0,0,,,EoN(2014-01-14) Electricity Aq 1yr
